City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
493,UberX,CANCELED,2021-02-08 21:25:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberEATS Marketplace,COMPLETED,2021-01-31 00:11:38 +0000 UTC,2021-01-31 00:39:29 +0000 UTC,2021-01-31 00:39:29 +0000 UTC,0.85301670734554,20.64,BRL
493,Flash,COMPLETED,2021-01-27 16:35:21 +0000 UTC,2021-01-27 16:40:39 +0000 UTC,2021-01-27 17:22:19 +0000 UTC,12.23724573702386,27.07,BRL
493,UberX Promo,CANCELED,2021-01-14 14:05:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-01-14 10:55:58 +0000 UTC,2021-01-14 11:00:17 +0000 UTC,2021-01-14 11:07:30 +0000 UTC,1.56882892518953,5.6,BRL
493,UberX Promo,CANCELED,2021-01-10 19:17:26 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2021-01-01 20:06:12 +0000 UTC,2021-01-01 20:09:39 +0000 UTC,2021-01-01 20:18:48 +0000 UTC,2.30221552395059,9.81,BRL
493,UberX Promo,COMPLETED,2020-12-30 11:58:13 +0000 UTC,2020-12-30 12:04:28 +0000 UTC,2020-12-30 12:11:29 +0000 UTC,1.92394981262694,8.48,BRL
493,UberX,CANCELED,2020-12-30 11:55:24 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2020-12-30 10:46:28 +0000 UTC,2020-12-30 10:50:15 +0000 UTC,2020-12-30 10:57:05 +0000 UTC,1.7850302023496,6.28,BRL
493,UberX,DRIVER_CANCELED,2020-12-30 10:42:01 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,4.5,BRL
493,UberX,COMPLETED,2020-12-25 12:47:37 +0000 UTC,2020-12-25 13:01:28 +0000 UTC,2020-12-25 13:08:21 +0000 UTC,1.32644108292086,11.54,BRL
493,Flash,COMPLETED,2020-12-24 12:26:45 +0000 UTC,2020-12-24 12:34:11 +0000 UTC,2020-12-24 12:40:26 +0000 UTC,1.46639258574601,7.49,BRL
493,UberX,COMPLETED,2020-12-24 01:00:16 +0000 UTC,2020-12-24 01:02:38 +0000 UTC,2020-12-24 01:07:23 +0000 UTC,1.17378233628108,6.05,BRL
493,UberX,COMPLETED,2020-12-22 11:59:06 +0000 UTC,2020-12-22 12:02:48 +0000 UTC,2020-12-22 12:11:26 +0000 UTC,2.41797288121269,8.71,BRL
